Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
3,Feta,Dairy,33lbs,1.7,5lb BAG,1,OZ-wt,160,1,49.74,2,2/11/2018 12:00:00 AM,2
18,Artichoke Hearts,Grocery,6# CANS,49,CAN,6,OZ-wt,324,10000,43.87,3,2/22/2018 2:57:03 PM,0
20,BBQ Sauce,Grocery,CS 39.5lbs,8,JUG,4,OZ-wt,632,9800,39.94,1,3/5/2018 10:48:08 AM,0
21,Macaroni,Grocery,20lb CASE,20,BAG,2,EA,160,2.41,12.93,7,3/5/2018 10:48:08 AM,0
23,Roasted Bell Peppers,Grocery,6# CANS,89,CAN,6,OZ-wt,63.5,1,29.13,8,3/5/2018 10:48:08 AM,0
31,Tapatio,Grocery,EA,39,BOTTLE,12,EA,12,1,12.84,1,2/11/2018 12:00:00 AM,2
32,Sriracha,Grocery,12x17oz,37,BOTTLE,12,EA,12,1,18.88,1,2/11/2018 12:00:00 AM,2
40,Tahini,Grocery,40lbs,1.6,Container,1,OZ-wt,640,1,58.45,1,12/11/2017 12:00:00 AM,2
41,Kalamata Olives,Grocery,6x4.4lbs,22,JAR,6,OZ-wt,64.8,1,47.18,1,2/11/2018 12:00:00 AM,2
112,Dried Garbanzo Beans,Grocery,25lb,64.64,QUART,13.318,LB,1.877,1,22.93,2,2/15/2018 2:38:32 PM,0
130,Pink Lemonade Base,Beverage,4 GAL,25.7,GALLON,4,1,1,,22.23,2,2/11/2018 12:00:00 AM,2
